[2018-01-02 09:11:31:0216] | GigEVisionManager.cpp-L2329: AppGetCount[124], AppGetCountSucceed[6], ExpectRecv[6], NetRecv[6], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[195]
[2018-01-02 09:11:32:0373] | GigEVisionManager.cpp-L2329: AppGetCount[125], AppGetCountSucceed[6], ExpectRecv[6], NetRecv[6], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[195]
[2018-01-02 09:11:32:0373] | GigEVisionManager.cpp-L0901: disconnect device ...
[2018-01-02 09:11:32:0373] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2018-01-02 09:11:32:0387] | GigEVisionManager.cpp-L2329: AppGetCount[125], AppGetCountSucceed[6], ExpectRecv[6], NetRecv[6], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[195]
[2018-01-02 09:11:32:0394] | GigEVisionManager.cpp-L2861: event thread stop
[2018-01-02 09:14:15:0708] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-01-02 09:14:15:0708] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-01-02 09:14:15:0708] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:14:15:0708] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:14:15:0708] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[54178], devIP[a9fe0f93]
[2018-01-02 09:14:15:0709] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2018-01-02 09:14:15:0709] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:14:15:0719] | GigEVisionManager.cpp-L2790: event thread start...
[2018-01-02 09:14:15:0978] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:14:16:0843] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[816]
[2018-01-02 09:14:36:0151] | GigEVisionManager.cpp-L2329: AppGetCount[185], AppGetCountSucceed[6], ExpectRecv[6], NetRecv[6], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:14:37:0571] | GigEVisionManager.cpp-L2329: AppGetCount[185], AppGetCountSucceed[6], ExpectRecv[6], NetRecv[6], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:14:37:0571] | GigEVisionManager.cpp-L0901: disconnect device ...
[2018-01-02 09:14:37:0571] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2018-01-02 09:14:37:0585] | GigEVisionManager.cpp-L2329: AppGetCount[185], AppGetCountSucceed[6], ExpectRecv[6], NetRecv[6], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:14:37:0638] | GigEVisionManager.cpp-L2861: event thread stop
[2018-01-02 09:15:50:0080] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-01-02 09:15:50:0080] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-01-02 09:15:50:0080] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:15:50:0080] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:15:50:0080] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[57254], devIP[a9fe0f93]
[2018-01-02 09:15:50:0082] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2018-01-02 09:15:50:0082] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:15:50:0091] | GigEVisionManager.cpp-L2790: event thread start...
[2018-01-02 09:15:50:0357] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:15:54:0684] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[5352]
